Nombre,Apellido Paterno,Apellido materno,Matricula,Curp
Victor,Dominguez,Cruz,20260001,VITC010101HDDWDE01
Gabriela,Rojas,Mejia,20260002,ROMG141414MDFRXX24
Juan,Perez,Gomez,20260003,PEGO010101HDFRXX01
Alejandro,Rios,Soto,20260013,RISA0303203HDFRXX13
Ricardo,Molina,Reyes,20230015,MORR050505HDFRXX15
Miguel,Silva,Morales,20230017,SIMM070707HDFRXX17
Paola,Herrera,Rojas,20230020,HERP101010MDFRXX20
Javier,Luna,Cortes,20230021,LUCJ111111HDFRXX21
Fernando,Cabrera,Aguirre,20230023,CAAF131313HDFRXX23
Roberto,Mendoza,Aguilar,20230011,MEAR010101HDFRXX11
Valeria,Ortiz,Guzman,20230016,ORGV060606MDFRXX16
Diana,Romero,Herrera,20230018,ROHD080808MDFRXX18
